,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.4,139.83185,60.0,1,0,16,1,AlexandreMotorImagery,BTTDA_10
1,0.38333333,126.72207,60.0,2,0,16,1,AlexandreMotorImagery,BTTDA_10
2,0.43333334,137.77863,60.0,3,0,16,1,AlexandreMotorImagery,BTTDA_10
3,0.53333336,91.956795,60.0,4,0,16,1,AlexandreMotorImagery,BTTDA_10
4,0.56666666,130.26566,60.0,5,0,16,1,AlexandreMotorImagery,BTTDA_10
5,0.41666666,144.63965,60.0,6,0,16,1,AlexandreMotorImagery,BTTDA_10
6,0.55,143.3718,60.0,7,0,16,1,AlexandreMotorImagery,BTTDA_10
7,0.51666665,112.59007,60.0,8,0,16,1,AlexandreMotorImagery,BTTDA_10
8,0.31666666,31.156282,60.0,1,0,16,1,AlexandreMotorImagery,PARAFACDA_10
9,0.38333333,24.793465,60.0,2,0,16,1,AlexandreMotorImagery,PARAFACDA_10
10,0.28333333,21.149416,60.0,3,0,16,1,AlexandreMotorImagery,PARAFACDA_10
11,0.56666666,20.561415,60.0,4,0,16,1,AlexandreMotorImagery,PARAFACDA_10
12,0.35,21.486021,60.0,5,0,16,1,AlexandreMotorImagery,PARAFACDA_10
13,0.23333333,25.45571,60.0,6,0,16,1,AlexandreMotorImagery,PARAFACDA_10
14,0.6,22.727684,60.0,7,0,16,1,AlexandreMotorImagery,PARAFACDA_10
15,0.56666666,21.951546,60.0,8,0,16,1,AlexandreMotorImagery,PARAFACDA_10
16,0.36666667,14.947971,60.0,1,0,16,1,AlexandreMotorImagery,HODA
17,0.31666666,11.294243,60.0,2,0,16,1,AlexandreMotorImagery,HODA
18,0.36666667,14.491903,60.0,3,0,16,1,AlexandreMotorImagery,HODA
19,0.5833333,5.259388,60.0,4,0,16,1,AlexandreMotorImagery,HODA
20,0.41666666,10.882476,60.0,5,0,16,1,AlexandreMotorImagery,HODA
21,0.36666667,13.380693,60.0,6,0,16,1,AlexandreMotorImagery,HODA
22,0.51666665,12.482195,60.0,7,0,16,1,AlexandreMotorImagery,HODA
23,0.51666665,7.9094105,60.0,8,0,16,1,AlexandreMotorImagery,HODA
